order_id,customer_id,customer_name,city,product_name,unit_price,quantity,discount_percent,payment_method,order_status,order_timestamp,gross_amount,discount_amount,net_revenue,order_date,order_month,order_hour,category
ORD-100116,CUST-1017,Rachel Green,Singapore,Economics 101,14.12,2,0.0,Apple Pay,COMPLETED,2025-05-08 10:11:53,28.24,0.0,28.24,2025-05-08,2025-05,15,Books
ORD-100132,CUST-1017,Rachel Green,Paris,Economics 101,21.96,2,0.15,UPI / Digital Wallet,COMPLETED,2025-05-29 19:05:29,43.92,6.59,37.33,2025-05-30,2025-05,0,Books
ORD-100139,CUST-1000,Alice Smith,Berlin,Sci-Fi Novel,33.57,1,0.15,PayPal,COMPLETED,2025-05-20 15:07:00,33.57,5.04,28.53,2025-05-20,2025-05,20,Books
ORD-100150,CUST-1006,George Clark,Paris,Cookbook,17.76,1,0.0,Apple Pay,CANCELLED,2025-01-03 05:56:02,17.76,0.0,17.76,2025-01-03,2025-01,11,Books
ORD-100152,CUST-1012,Michael Scott,London,Economics 101,42.76,1,0.25,Debit Card,COMPLETED,2025-01-14 08:39:54,42.76,10.69,32.07,2025-01-14,2025-01,14,Books
ORD-100154,CUST-1015,Pam Beesly,Berlin,Data Engineering Handbook,12.77,2,0.0,PayPal,COMPLETED,2025-09-22 03:16:47,25.54,0.0,25.54,2025-09-22,2025-09,8,Books
ORD-100155,CUST-1000,Alice Smith,London,History of Computing,29.42,2,0.2,Debit Card,COMPLETED,2025-08-31 02:41:52,58.84,11.77,47.07,2025-08-31,2025-08,8,Books
ORD-100158,CUST-1004,Evan Wright,Paris,Data Engineering Handbook,35.98,2,0.05,Debit Card,CANCELLED,2025-12-28 11:41:44,71.96,3.6,68.36,2025-12-28,2025-12,17,Books
ORD-100180,CUST-1004,Evan Wright,Sydney,History of Computing,16.74,2,0.0,Debit Card,RETURNED,2025-03-15 13:30:25,33.48,0.0,33.48,2025-03-15,2025-03,19,Books
ORD-100190,CUST-1003,Diana Prince,Mumbai,Data Engineering Handbook,27.0,1,0.1,Credit Card,RETURNED,2025-02-22 19:55:24,27.0,2.7,24.3,2025-02-23,2025-02,1,Books
ORD-100192,CUST-1018,Steve Rogers,Singapore,History of Computing,13.4,2,0.2,Debit Card,CANCELLED,2025-10-29 06:25:07,26.8,5.36,21.44,2025-10-29,2025-10,11,Books
ORD-100194,CUST-1007,Hannah Abbott,Mumbai,Economics 101,22.88,3,0.2,Apple Pay,COMPLETED,2025-01-09 07:49:06,68.64,13.73,54.91,2025-01-09,2025-01,13,Books
ORD-100196,CUST-1003,Diana Prince,Sydney,History of Computing,19.0,1,0.25,UPI / Digital Wallet,CANCELLED,2025-03-30 17:34:51,19.0,4.75,14.25,2025-03-30,2025-03,23,Books
ORD-100202,CUST-1004,Evan Wright,Unknown City,Sci-Fi Novel,12.45,1,0.05,Debit Card,CANCELLED,2025-02-15 06:32:42,12.45,0.62,11.83,2025-02-15,2025-02,12,Books
ORD-100207,CUST-1015,Pam Beesly,Sydney,Economics 101,37.38,1,0.15,Apple Pay,CANCELLED,2025-06-18 14:45:42,37.38,5.61,31.77,2025-06-18,2025-06,20,Books
ORD-100216,CUST-1014,Unknown Customer,Toronto,Sci-Fi Novel,17.3,2,0.15,Credit Card,COMPLETED,2025-04-01 10:30:09,34.6,5.19,29.41,2025-04-01,2025-04,16,Books
ORD-100227,CUST-1018,Steve Rogers,New York,Sci-Fi Novel,16.88,5,0.2,Apple Pay,COMPLETED,2025-04-06 03:40:37,84.4,16.88,67.52,2025-04-06,2025-04,9,Books
ORD-100233,CUST-1004,Evan Wright,Singapore,Economics 101,34.19,1,0.05,Apple Pay,COMPLETED,2025-05-23 21:39:29,34.19,1.71,32.48,2025-05-24,2025-05,3,Books
ORD-100246,CUST-1017,Rachel Green,Mumbai,Sci-Fi Novel,42.6,1,0.1,UPI / Digital Wallet,COMPLETED,2025-01-25 05:08:24,42.6,4.26,38.34,2025-01-25,2025-01,10,Books
ORD-100248,CUST-1007,Hannah Abbott,San Francisco,Cookbook,32.08,3,0.0,PayPal,COMPLETED,2025-05-04 19:25:56,96.24,0.0,96.24,2025-05-05,2025-05,0,Books
ORD-100249,CUST-1002,Charlie Brown,Tokyo,Data Engineering Handbook,41.42,1,0.0,UPI / Digital Wallet,COMPLETED,2025-02-11 01:40:36,41.42,0.0,41.42,2025-02-11,2025-02,7,Books
ORD-100254,CUST-1016,Quentin Tarantino,Paris,History of Computing,20.7,1,0.15,PayPal,COMPLETED,2025-10-24 15:09:13,20.7,3.11,17.59,2025-10-24,2025-10,20,Books
ORD-100262,CUST-1005,Fiona Gallagher,Sydney,Sci-Fi Novel,16.58,1,0.05,Apple Pay,PENDING,2025-11-07 16:49:42,16.58,0.83,15.75,2025-11-07,2025-11,22,Books
ORD-100264,CUST-1001,Bob Jones,New York,Cookbook,29.23,1,0.0,UPI / Digital Wallet,CANCELLED,2025-03-10 14:28:06,29.23,0.0,29.23,2025-03-10,2025-03,19,Books
